comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.09508628964143878
naive_no_fsl_vs_Naive,-0.2837694694407872
naive_no_fsl_vs_Complex tree,-0.1934485888904129
naive_no_fsl_vs_Simple tree,-0.21684471192079596
naive_no_fsl_vs_Function summary no FSL,0.11606943405641132
naive_no_fsl_vs_Simple verify,-0.21329573527882628
naive_no_fsl_vs_Complex verify,-0.2401179701239671
naive_no_fsl_vs_Default verify,-0.05986131903102658
naive_no_fsl_vs_Simple verify no FSL,-0.10891017019705754
naive_no_fsl_vs_Complex verify no FSL,-0.023583250566661416
naive_no_fsl_vs_Default verify no FSL,-0.02649190330684871
