comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.05710477559945484
vanilla_vs_naive correctness fsl,-0.04424444074188956
vanilla_vs_simple tree,0.09635695797807681
vanilla_vs_complex tree,0.19175583685156122
vanilla_vs_vanilla_no_cot,-0.15855477295245618
vanilla_vs_summary,0.10022947825557339
vanilla_vs_simple verify fsl,-0.04276475623657533
vanilla_vs_complex verify fsl,-0.15830494997054395
vanilla_vs_summary verify fsl,-0.09645736746111454
vanilla_vs_simple verify,0.08976257197764578
vanilla_vs_complex verify,-0.06918713410572214
vanilla_vs_summary verify,-0.05787938552477595
