Task ID,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
90,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function that counts the number of pairs of integers in a list that xor to an even number.,"def find_even_pair(lst):
    even_count = sum(1 for x in lst if x % 2 == 0)
    odd_count = len(lst) - even_count  # total count minus even count gives odd count

    # Calculate the number of pairs that XOR to an even number
    even_pairs = even_count * (even_count - 1) // 2
    odd_pairs = odd_count * (odd_count - 1) // 2
    
    return even_pairs + odd_pairs

# Test cases
assert find_even_pair([5, 4, 7, 2, 1]) == 4
assert find_even_pair([7, 2, 8, 1, 0, 5, 11]) == 9
assert find_even_pair([1, 2, 3]) == 1
",1,True,False,False,True,False,False,True,True,True,True,True,True,True
125,mbppplus,gpt-4o,qwen2.5-7b-instruct,"Write a function that takes in a list and an integer n and splits a list for every nth element, returning a list of the resulting lists.","def list_split(lst, n):
    result = [[] for _ in range(n)]
    for i, element in enumerate(lst):
        result[i % n].append(element)
    return result

# Test cases
assert list_split(['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n'], 3) == [['a', 'd', 'g', 'j', 'm'], ['b', 'e', 'h', 'k', 'n'], ['c', 'f', 'i', 'l']]
assert list_split([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 3) == [[1, 4, 7, 10, 13], [2, 5, 8, 11, 14], [3, 6, 9, 12]]
assert list_split(['python', 'java', 'C', 'C++', 'DBMS', 'SQL'], 2) == [['python', 'C', 'DBMS'], ['java', 'C++', 'SQL']]
",1,True,True,False,False,False,True,True,False,True,False,True,True,True
143,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function that checks whether a string contains the 'a' character followed by two or three 'b' characters.,"import re

def text_match_two_three(text):
    # Define the regular expression pattern
    pattern = r'a(b{2,3})'
    # Search the pattern in the given text
    match = re.search(pattern, text)
    # Return True if the pattern is found, otherwise False
    return bool(match)

# Test cases
assert text_match_two_three(""ac"") == False
assert text_match_two_three(""dc"") == False
assert text_match_two_three(""abbbba"") == True
",1,True,True,False,False,True,True,True,False,False,False,True,False,True
173,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function to find the minimum value in a given heterogeneous list.,"def min_val(lst):
    # Filter out only integer values from the list
    int_values = [x for x in lst if isinstance(x, int)]
    # Find and return the minimum value among the integer values
    return min(int_values)

# Test cases to validate the solution
assert min_val(['Python', 3, 2, 4, 5, 'version']) == 2
assert min_val(['Python', 15, 20, 25]) == 15
assert min_val(['Python', 30, 20, 40, 50, 'version']) == 20
",1,True,True,False,True,True,True,True,True,False,True,False,True,True
186,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function to extract the elementwise and tuples from the given two tuples.,"def and_tuples(tuple1, tuple2):
    return tuple(a & b for a, b in zip(tuple1, tuple2))

# Testing the function with the provided test cases
assert and_tuples((10, 4, 6, 9), (5, 2, 3, 3)) == (0, 0, 2, 1)
assert and_tuples((1, 2, 3, 4), (5, 6, 7, 8)) == (1, 2, 3, 0)
assert and_tuples((8, 9, 11, 12), (7, 13, 14, 17)) == (0, 9, 10, 0)
",1,True,False,False,True,True,True,True,False,True,False,True,True,False
192,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function to remove odd characters in a string.,"def remove_odd(s):
    return ''.join([s[i] for i in range(len(s)) if i % 2 != 0])

# Testing the function with the provided test cases
assert remove_odd(""python"") == ""yhn""
assert remove_odd(""program"") == ""rga""
assert remove_odd(""language"") == ""agae""
",1,True,True,False,True,False,True,False,False,False,True,True,False,True
239,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a python function to remove duplicate numbers from a given number of lists.,"from collections import Counter

def two_unique_nums(lst):
    # Count the occurrences of each number in the list
    count = Counter(lst)
    
    # Filter out the numbers that occur more than once
    result = [num for num in lst if count[num] == 1]
    
    return result

# Testing the function with the provided test cases
assert two_unique_nums([1,2,3,2,3,4,5]) == [1, 4, 5]
assert two_unique_nums([1,2,3,2,4,5]) == [1, 3, 4, 5]
assert two_unique_nums([1,2,3,4,5]) == [1, 2, 3, 4, 5]
",1,True,True,False,False,False,False,False,False,False,False,False,False,False
328,mbppplus,gpt-4o,qwen2.5-7b-instruct,Write a function to find nth polite number. geeksforgeeks.org/n-th-polite-number/,"def is_polite(n):
    count = 0
    number = 1
    while count < n:
        if (number & (number - 1)) != 0:  # Check if number is not a power of 2
            count += 1
        number += 1
    return number - 1

# Testing the function
assert is_polite(7) == 11
assert is_polite(4) == 7
assert is_polite(9) == 13
",1,False,False,False,False,False,False,False,True,False,False,False,True,True
32,mbppplus,llama3point1-70b,qwen2.5-7b-instruct,Write a function to check whether it follows the sequence given in the patterns array.,"def is_samepatterns(patterns1, patterns2):
    if len(patterns1) != len(patterns2):
        return False
    
    mapping = {}
    for p1, p2 in zip(patterns1, patterns2):
        if p1 not in mapping:
            mapping[p1] = p2
        elif mapping[p1] != p2:
            return False
    
    return True
",1,False,True,True,True,True,True,True,True,False,True,True,True,True
45,mbppplus,llama3point1-70b,qwen2.5-7b-instruct,Write a function to check whether the given number is undulating or not.,"def is_undulating(n):
    n = str(n)
    undulating = True
    for i in range(1, len(n) - 1):
        if (n[i-1] < n[i] and n[i] < n[i+1]) or (n[i-1] > n[i] and n[i] > n[i+1]):
            pass
        else:
            undulating = False
            break
    return undulating
",1,False,False,False,False,True,False,True,False,False,True,False,False,False
