Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,data file,unique_id,consistency
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,False,post,False,False,False,True,False,False,False,False,False,True,True,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
335,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the occurrence and position of the substrings within a string. Return None if there is no match.,"def occurance_substring(string, substring):
    start = string.find(substring)
    if start == -1:
        return None
    end = start + len(substring)
    return (substring, start, end - 1)
",,True,post,False,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,335_llama3point1-70b,0.6666666666666666
45,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to check whether the given number is undulating or not.,"def is_undulating(n):
    n = str(n)
    undulating = True
    for i in range(1, len(n) - 1):
        if (n[i-1] < n[i] and n[i] < n[i+1]) or (n[i-1] > n[i] and n[i] > n[i+1]):
            pass
        else:
            undulating = False
            break
    return undulating
",,True,post,False,True,False,True,True,True,True,False,False,True,True,True,selected_pilot_75_mbpp.json,45_llama3point1-70b,0.6666666666666666
109,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,"def replace_list(list1, list2):
    if list1:
        list1[-1:] = list2
    else:
        list1 = list2
    return list1
",,True,post,True,False,True,True,True,True,True,False,True,False,True,False,selected_pilot_75_mbpp.json,109_llama3point1-70b,0.5
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,True,post,False,False,False,False,False,True,False,False,False,False,False,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
335,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the occurrence and position of the substrings within a string. Return None if there is no match.,"def occurance_substring(string, substring):
    start = string.find(substring)
    if start == -1:
        return None
    end = start + len(substring)
    return (substring, start, end - 1)
",,True,post,False,True,True,True,True,False,True,True,True,True,True,True,selected_pilot_75_mbpp.json,335_llama3point1-70b,0.6666666666666666
45,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to check whether the given number is undulating or not.,"def is_undulating(n):
    n = str(n)
    undulating = True
    for i in range(1, len(n) - 1):
        if (n[i-1] < n[i] and n[i] < n[i+1]) or (n[i-1] > n[i] and n[i] > n[i+1]):
            pass
        else:
            undulating = False
            break
    return undulating
",,True,post,False,True,False,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,45_llama3point1-70b,0.6666666666666666
109,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,"def replace_list(list1, list2):
    if list1:
        list1[-1:] = list2
    else:
        list1 = list2
    return list1
",,True,post,True,False,True,True,True,True,False,False,False,True,True,True,selected_pilot_75_mbpp.json,109_llama3point1-70b,0.5
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,True,post,False,False,False,False,False,False,True,True,False,True,False,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,True,post,False,True,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
335,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the occurrence and position of the substrings within a string. Return None if there is no match.,"def occurance_substring(string, substring):
    start = string.find(substring)
    if start == -1:
        return None
    end = start + len(substring)
    return (substring, start, end - 1)
",,True,post,False,True,True,True,False,False,True,True,True,False,False,False,selected_pilot_75_mbpp.json,335_llama3point1-70b,0.6666666666666666
