comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.21905274952996195
vanilla_vs_naive correctness fsl,-0.19143777009955415
vanilla_vs_simple tree,-0.001106503720034724
vanilla_vs_complex tree,-0.13550942741345653
vanilla_vs_vanilla_no_cot,-0.05145551308654208
vanilla_vs_summary,-0.03879275469749024
vanilla_vs_simple verify fsl,-0.20786952882642937
vanilla_vs_complex verify fsl,-0.18794219650461053
vanilla_vs_summary verify fsl,-0.12713012038914367
vanilla_vs_simple verify,-0.054016137483516816
vanilla_vs_complex verify,-0.04723626290399675
vanilla_vs_summary verify,-0.03866014661505071
