comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.009036111764777343
vanilla_vs_naive correctness fsl,-0.050757403510052174
vanilla_vs_simple tree,-0.13382798354520864
vanilla_vs_complex tree,0.00555811730428146
vanilla_vs_vanilla_no_cot,0.028233528926138392
vanilla_vs_summary,-0.10221177251587758
vanilla_vs_simple verify fsl,-0.040272254634021586
vanilla_vs_complex verify fsl,-0.07716754637230074
vanilla_vs_summary verify fsl,-0.0877073489533452
vanilla_vs_simple verify,0.06863240856432096
vanilla_vs_complex verify,-0.018749969257528684
vanilla_vs_summary verify,0.009868606139948187
