comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.035204706383914715
vanilla_vs_naive correctness fsl,0.05830037739854313
vanilla_vs_simple tree,0.028471587839318673
vanilla_vs_complex tree,0.012658522705795582
vanilla_vs_summary,-0.06294231963101478
vanilla_vs_simple verify fsl,-0.07361342623426244
vanilla_vs_complex verify fsl,0.00018946453410037054
vanilla_vs_summary verify fsl,-0.04687543785863447
vanilla_vs_simple verify,-0.06381632510914433
vanilla_vs_complex verify,0.004538061705004329
vanilla_vs_summary verify,-0.001112115405276648
