comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09846768501649794
vanilla_vs_naive correctness fsl,-0.10708616215059032
vanilla_vs_simple tree,0.0876463633777734
vanilla_vs_complex tree,0.046339720772181126
vanilla_vs_vanilla_no_cot,-0.13538633372794528
vanilla_vs_summary,0.014713271048611299
vanilla_vs_simple verify fsl,0.046061197698571095
vanilla_vs_complex verify fsl,0.0033496392940154914
vanilla_vs_summary verify fsl,0.02944623280869041
vanilla_vs_simple verify,0.027113997860307992
vanilla_vs_complex verify,0.09128465590288282
vanilla_vs_summary verify,0.12354540373893723
