comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.24932362090893048
vanilla_vs_naive correctness fsl,-0.06416146668059144
vanilla_vs_simple tree,0.3300387701820719
vanilla_vs_complex tree,0.07856157183440828
vanilla_vs_vanilla_no_cot,-0.062277954749965066
vanilla_vs_summary,0.22478115746017563
vanilla_vs_simple verify fsl,-0.03835626929290602
vanilla_vs_complex verify fsl,0.024484448468743224
vanilla_vs_summary verify fsl,0.06214170658909555
vanilla_vs_simple verify,-0.08972136662721578
vanilla_vs_complex verify,-0.09573266465993978
vanilla_vs_summary verify,-0.026286531577671444
