comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.05339583580483741
vanilla_vs_naive correctness fsl,0.05328939818019772
vanilla_vs_simple tree,0.014472988495106746
vanilla_vs_complex tree,0.028930265052417366
vanilla_vs_vanilla_no_cot,-0.024651202911127205
vanilla_vs_summary,0.02126543319109671
vanilla_vs_simple verify fsl,9.365366202857973e-06
vanilla_vs_complex verify fsl,0.08227216707556179
vanilla_vs_summary verify fsl,0.05147225136283477
vanilla_vs_simple verify,0.04681462063985806
vanilla_vs_complex verify,0.021959695457446873
vanilla_vs_summary verify,-0.006156629983491006
