comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.24827735418029678
vanilla_vs_naive correctness fsl,-0.2022657508499509
vanilla_vs_simple tree,-0.020263436845201908
vanilla_vs_complex tree,-0.0019518527750380552
vanilla_vs_vanilla_no_cot,-0.01978786773205863
vanilla_vs_summary,-0.04954865241953203
vanilla_vs_simple verify fsl,-0.14592419366965023
vanilla_vs_complex verify fsl,-0.21694328777216684
vanilla_vs_summary verify fsl,-0.15273153693305888
vanilla_vs_simple verify,-0.20348397673138827
vanilla_vs_complex verify,-0.23164987080018834
vanilla_vs_summary verify,-0.201132192037482
