comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.04440907791528124
vanilla_vs_naive correctness fsl,-0.059392393052705106
vanilla_vs_simple tree,-0.2101802443563924
vanilla_vs_complex tree,-0.10416434999650555
vanilla_vs_vanilla_no_cot,0.028685213826957517
vanilla_vs_summary,-0.03217604610213857
vanilla_vs_simple verify fsl,-0.04238734425895624
vanilla_vs_complex verify fsl,-0.059226026927718015
vanilla_vs_summary verify fsl,-0.0783866970762633
vanilla_vs_simple verify,-0.075482445626901
vanilla_vs_complex verify,-0.01144681718512944
vanilla_vs_summary verify,-0.03997990274048782
