Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,tester
1926_D,1926_D_ayushdreams147_6.67%,codeforces2024,human,qwen2p5-72b-instruct,"Vladislav has n non-negative integers, and he wants to divide all of them into
several groups so that in any group, any pair of numbers does not have
matching bit values among bits from 1 -st to 31 -st bit (i.e., considering the
31 least significant bits of the binary representation).

For an integer k , let k_2(i) denote the i -th bit in its binary
representation (from right to left, indexing from 1). For example, if k=43 ,
since 43=101011_2 , then 43_2(1)=1 , 43_2(2)=1 , 43_2(3)=0 , 43_2(4)=1 ,
43_2(5)=0 , 43_2(6)=1 , 43_2(7)=0 , 43_2(8)=0, \dots, 43_2(31)=0 .

Formally, for any two numbers x and y in the same group, the condition x_2(i)
\neq y_2(i) must hold for all 1 \leq i < 32 .

What is the minimum number of groups Vlad needs to achieve his goal? Each
number must fall into exactly one group.

Input

The first line contains a single integer t (1 \leq t \leq 10^4 ) — the number
of test cases.

The first line of each test case contains a single integer n (1 \leq n \leq 2
\cdot 10^5 ) — the total number of integers.

The second line of each test case contains n given integers a_1, \ldots, a_n
(0 \leq a_j < 2^{31} ).

The sum of n over all test cases in a test does not exceed 2 \cdot 10^5 .

Output

For each test case, output a single integer — the minimum number of groups
required to satisfy the condition.

Example

Input

    9
    
    4
    
    1 4 3 4
    
    2
    
    0 2147483647
    
    5
    
    476319172 261956880 2136179468 1671164475 1885526767
    
    3
    
    1335890506 811593141 1128223362
    
    4
    
    688873446 627404104 1520079543 1458610201
    
    4
    
    61545621 2085938026 1269342732 1430258575
    
    4
    
    0 0 2147483647 2147483647
    
    3
    
    0 0 2147483647
    
    8
    
    1858058912 289424735 1858058912 2024818580 1858058912 289424735 122665067 289424735

Output

    4
    1
    3
    2
    2
    3
    2
    2
    4
    
Note

In the first test case, any two numbers have the same last 31 bits, so we need
to place each number in its own group.

In the second test case, a_1=0000000000000000000000000000000_2 ,
a_2=1111111111111111111111111111111_2 so they can be placed in the same group
because a_1(i) \ne a_2(i) for each i between 1 and 31 , inclusive.","def solve(n,a):
    res =0
    count={}
    for num in a:
        if num not in count:
            count[num^((1<<31)-1)] = count.get(num^((1<<31)-1),0)+1
            res+=1
        else:
            count[num]-=1
    return res
t = int(input())
for _ in range(t):
    n = int(input())
    a= list(map(int,input().split()))
    print(solve(n,a))",1,False,False
1937_B,1937_B_kaushik_yadav_100%,codeforces2024,human,qwen2p5-72b-instruct,"You are given a 2 \times n grid filled with zeros and ones. Let the number at
the intersection of the i -th row and the j -th column be a_{ij} .

There is a grasshopper at the top-left cell (1, 1) that can only jump one cell
right or downwards. It wants to reach the bottom-right cell (2, n) . Consider
the binary string of length n+1 consisting of numbers written in cells of the
path without changing their order.

Your goal is to:

  1. Find the lexicographically smallest^\dagger string you can attain by choosing any available path; 
  2. Find the number of paths that yield this lexicographically smallest string. 

^\dagger If two strings s and t have the same length, then s is
lexicographically smaller than t if and only if in the first position where s
and t differ, the string s has a smaller element than the corresponding
element in t .

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^4 ). The description of the test cases follows.

The first line of each test case contains a single integer n (2 \le n \le 2
\cdot 10^5 ).

The second line of each test case contains a binary string a_{11} a_{12}
\ldots a_{1n} (a_{1i} is either 0 or 1 ).

The third line of each test case contains a binary string a_{21} a_{22} \ldots
a_{2n} (a_{2i} is either 0 or 1 ).

It is guaranteed that the sum of n over all test cases does not exceed 2 \cdot
10^5 .

Output

For each test case, output two lines:

  1. The lexicographically smallest string you can attain by choosing any available path; 
  2. The number of paths that yield this string. 

Example

Input

    3
    
    2
    
    00
    
    00
    
    4
    
    1101
    
    1100
    
    8
    
    00100111
    
    11101101

Output

    000
    2
    11000
    1
    001001101
    4
    
Note

In the first test case, the lexicographically smallest string is \mathtt{000}
. There are two paths that yield this string:

![](https://espresso.codeforces.com/77986b77a0625593b90ec3560ecfcbf9154500d2.png)

In the second test case, the lexicographically smallest string is
\mathtt{11000} . There is only one path that yields this string:

![](https://espresso.codeforces.com/553da757110049e03424fa5158938ddaa7e49324.png)","import sys
input = sys.stdin.readline
t=int(input())
for _ in range(t):
    n=int(input())
    a=input().strip()
    b=input().strip()
    ans=""""
    i=0
    work=True
    while(i<len(a)):
        if(work):
            ans+=a[i]
            if i+1<len(a) and b[i]<a[i+1]:
                work=False
            elif i+1==len(a):
                ans+=b[i]
                break
            else:
                i+=1
        else:
            ans+=b[i]
            i+=1
    print(ans)
    counter=1
    for j in range(len(a)-1):
        if(a[j+1]==b[j]):
            counter+=1
        elif(a[j+1]==""0""and b[j]==""1""):
            counter=1
        else:
            break
    print(counter)",1,True,False
1969_A,1969_A_vigneshwaran2110609_100%,codeforces2024,human,qwen2p5-72b-instruct,"Monocarp wants to throw a party. He has n friends, and he wants to have at
least 2 of them at his party.

The i -th friend's best friend is p_i . All p_i are distinct, and for every i
\in [1, n] , p_i \ne i .

Monocarp can send invitations to friends. The i -th friend comes to the party
if both the i -th friend and the p_i -th friend receive an invitation (note
that the p_i -th friend doesn't have to actually come to the party). Each
invitation is sent to exactly one of the friends.

For example, if p = [3, 1, 2, 5, 4] , and Monocarp sends invitations to the
friends [1, 2, 4, 5] , then the friends [2, 4, 5] will come to the party. The
friend 1 won't come since his best friend didn't receive an invitation; the
friend 3 won't come since he didn't receive an invitation.

Calculate the minimum number of invitations Monocarp has to send so that at
least 2  friends come to the party.

Input

The first line contains one integer t (1 \le t \le 5000 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (2 \le n \le 50 ) — the number of friends; 
  * the second line contains n integers p_1, p_2, \dots, p_n (1 \le p_i \le n ; p_i \ne i ; all p_i are distinct). 

Output

Print one integer — the minimum number of invitations Monocarp has to send.

Example

Input

    3
    
    5
    
    3 1 2 5 4
    
    4
    
    2 3 4 1
    
    2
    
    2 1

Output

    2
    3
    2
    
Note

In the first testcase, Monocarp can send invitations to friends 4 and 5 . Both
of them will come to the party since they are each other's best friends, and
both of them have invitations.

In the second testcase, Monocarp can send invitations to friends 1, 2 and 3 ,
for example. Then friends 1 and 2 will attend: friend 1 and his best friend 2
have invitations, friend 2 and his best friend 3 have invitations. Friend 3
won't attend since his friend 4 doesn't have an invitation. It's impossible to
send invitations to fewer than 3 friends in such a way that at least 2 come.

In the third testcase, Monocarp can send invitations to both friends 1 and 2 ,
and both of them will attend.","n=int(input())
for i in range(n):
    x=int(input())
    l=list(map(int,input().strip().split()))
    for i in range(0,x):
        
        if l[l[i]-1]==i+1:
            flag=True
            print(2)
            break
    else:
        print(3)",1,True,False
1941_D,1941_D_funseeker_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"Rudolf and Bernard decided to play a game with their friends. n people stand
in a circle and start throwing a ball to each other. They are numbered from 1
to n in the clockwise order.

Let's call a transition a movement of the ball from one player to his
neighbor. The transition can be made clockwise or counterclockwise.

Let's call the clockwise (counterclockwise) distance from player y_1 to player
y_2 the number of transitions clockwise (counterclockwise) that need to be
made to move from player y_1 to player y_2 . For example, if n=7 then the
clockwise distance from 2 to 5 is 3 , and the counterclockwise distance from 2
to 5 is 4 .

Initially, the ball is with the player number x (players are numbered
clockwise). On the i -th move the person with the ball throws it at a distance
of r_i (1 \le r_i \le n - 1 ) clockwise or counterclockwise. For example, if
there are 7 players, and the 2 nd player, after receiving the ball, throws it
a distance of 5 , then the ball will be caught by either the 7 th player
(throwing clockwise) or the 4 th player (throwing counterclockwise). An
illustration of this example is shown below.

![](https://espresso.codeforces.com/29f44c71d01625dfd7795270dbc36b2737f0b368.png)

The game was interrupted after m throws due to unexpected rain. When the rain
stopped, the guys gathered again to continue. However, no one could remember
who had the ball. As it turned out, Bernard remembered the distances for each
of the throws and the direction for some of the throws (clockwise or
counterclockwise).

Rudolf asks you to help him and based on the information from Bernard,
calculate the numbers of the players who could have the ball after m throws.

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. Then follow the descriptions of the test cases.

The first line of each test case contains three integers n, m, x (2 \le n \le
1000 , 1 \le m \le 1000 , 1 \le x \le n ) — the number of players, the number
of throws made, and the number of the player who threw the ball first,
respectively.

The next m lines contain information about each throw in order. Each of them
contains an integer r_i (1 \le r_i \le n - 1 ) — the distance at which the i
-th throw was made, and a symbol c_i , equal to '0', '1', or '?':

  * if c_i ='0', then the i -th throw was made clockwise, 
  * if c_i ='1', then the i -th throw was made counterclockwise, 
  * if c_i ='?', then Bernard does not remember the direction and the i -th throw could have been made either clockwise or counterclockwise. 

It is guaranteed that the sum n \cdot m (n multiplied by m ) over all test
cases does not exceed 2 \cdot 10^5 .

Output

For each test case, output two lines.

In the first line, output the number of players k (1 \le k \le n ) who could
have the ball at the end of the game.

In the next line, output k numbers b_i (1 \le b_i \le n ) — the numbers of the
players in increasing order. All numbers must be different.

Example

Input

    5
    
    6 3 2
    
    2 ?
    
    2 ?
    
    2 ?
    
    12 1 2
    
    3 1
    
    10 7 4
    
    2 ?
    
    9 1
    
    4 ?
    
    7 0
    
    2 0
    
    8 1
    
    5 ?
    
    5 3 1
    
    4 0
    
    4 ?
    
    1 ?
    
    4 1 1
    
    2 ?

Output

    3
    2 4 6 
    1
    11 
    4
    3 5 7 9 
    3
    2 3 5 
    1
    3 
    
Note

Below is an illustration of three throws for the first test case. The arrows
denote possible throw directions. Players who could have the ball after the
throw are highlighted in gray.

![](https://espresso.codeforces.com/8c70d0cb48359ee6327eabbf182827e664062516.png)
![](https://espresso.codeforces.com/159cf99566782566b4c267b54062452988d11444.png)
![](https://espresso.codeforces.com/007b0cb2cc613eba2f2e45e69d5d973f282a9d5d.png)","import sys
from functools import lru_cache
sys.setrecursionlimit(100000000)
def read():
    return sys.stdin.readline().strip()
def ii():
    return int(read())
def il():
    return list(map(int,read().split()))
t=ii()
def solve():
    n,m,x=il()
    ans={x}
    for _ in range(m):
        r,c=read().split()
        r=int(r)
        temp=set()
        for q in ans:
            if c=='0' or c=='?':
                temp.add((q+r)%n)
            if c=='1' or c=='?':
                temp.add((q-r)%n)
        ans=temp
    if 0 in ans:
        ans.discard(0)
        ans.add(n)
    print(len(ans))
    print(*ans)
for i in range(t):
    solve()",1,False,False
1929_B,1929_B_muhammadhamid_25.00%,codeforces2024,human,qwen2p5-72b-instruct,"Even in kindergarten, Sasha liked a girl. Therefore, he wanted to give her a
drawing and attract her attention.

As a drawing, he decided to draw a square grid of size n \times n , in which
some cells are colored. But coloring the cells is difficult, so he wants to
color as few cells as possible. But at the same time, he wants at least k
diagonals to have at least one colored cell. Note that the square grid of size
n \times n has a total of 4n - 2 diagonals.

Help little Sasha to make the girl fall in love with him and tell him the
minimum number of cells he needs to color.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 1000 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains two integers n and k (2 \leq n \leq
10^8 , 1 \leq k \leq 4n - 2 ) — the size of the square grid and the minimum
number of diagonals in which there should be at least one colored cell.

Output

For each test case, output a single integer — the minimum number of cells that
need to be colored.

Example

Input

    7
    
    3 4
    
    3 3
    
    3 10
    
    3 9
    
    4 7
    
    7 11
    
    2 3

Output

    2
    2
    6
    5
    4
    6
    2
    
Note

In the pictures below, the colored cells are marked in black, and all
diagonals are marked in purple.

In the first test case, you can color 2 cells so that 4 diagonals contain at
least one colored cell:

![](https://espresso.codeforces.com/c88e80de5be4f91764dbe5bdc534c50fec115db3.png)

In the third test case, you can color 6 cells so that all 10 diagonals contain
at least one colored cell:

![](https://espresso.codeforces.com/624a36083689f6fb20bf243e5d1707fdcd71ef60.png)","import math
 
for _ in range(int(input())):
    #n=int(input())
    n,k=(map(int,input().split()))
    if k ==1:
        print(1)
        continue
 
    if k<=2*n:
        print(math.ceil(k/2))
    else:
        print(k//2 +1)",1,False,False
1954_C,1954_C_hoangha1306_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"You are given two integers x and y of the same length, consisting of digits
from 1 to 9 .

You can perform the following operation any number of times (possibly zero):
swap the i -th digit in x and the i -th digit in y .

For example, if x=73 and y=31 , you can swap the 2 -nd digits and get x=71 and
y=33 .

Your task is to maximize the product of x and y using the aforementioned
operation any number of times. If there are multiple answers, print any of
them.

Input

The first line contains a single integer t (1 \le t \le 1000 ) — the number of
test cases.

The first line of each test case contains a single integer x (1 \le x <
10^{100} ).

The second line of each test case contains a single integer y (1 \le y <
10^{100} ).

Additional constraint on input: the integers x and y consist only of digits
from 1 to 9 .

Output

For each test case, print two lines — the first line should contain the number
x after performing the operations; similarly, the second line should contain
the number y after performing the operations. If there are multiple answers,
print any of them.

Example

Input

    3
    
    73
    
    31
    
    2
    
    5
    
    3516
    
    3982

Output

    71
    33
    5
    2
    3912
    3586","t=int(input())
for q in range(t) : 
    a=input()
    b=input()
    kq1=''
    kq2=''
    vt=0
    for i in range(len(a)) : 
        # kiem tra so khac nhau thu 2, bo qua so thu nhat 
        # ki tu nao lon hon se ve ban so khac nhau dau tien be hon
        # so a se la so be , so b se la so lon
        if(a[i]==b[i]): 
            kq1=kq1+a[i]
            kq2=kq2+a[i]
            continue
        else : 
            x,y=min(int(a[i]),int(b[i])),max(int(a[i]),int(b[i]))
            if vt==0 :
                vt=1 
                if a[i] > b[i] :
                    kq1=kq1+str(x)
                    kq2=kq2+str(y)
                else: 
                     kq1=kq1+str(y)
                     kq2=kq2+str(x)
            else : 
                kq1=kq1+str(y)
                kq2=kq2+str(x)
    print(kq1)
    print(kq2)",1,False,False
1932_B,1932_B_fpeng2002_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"The Chaya tribe believes that there are n signs of the apocalypse. Over time,
it has been found out that the i -th sign occurs every a_i years (in years a_i
, 2 \cdot a_i , 3 \cdot a_i , \dots ).

According to the legends, for the apocalypse to happen, the signs must occur
sequentially. That is, first they wait for the first sign to occur, then
strictly after it, the second sign will occur, and so on. That is, if the i
-th sign occurred in the year x , the tribe starts waiting for the occurrence
of the (i+1) -th sign, starting from the year x+1 .

In which year will the n -th sign occur and the apocalypse will happen?

Input

The first line of the input contains a single integer t (1 \le t \le 1000 ) —
the number of test cases. Then follow the descriptions of the test cases.

The first line of each test case contains a single integer n (1 \le n \le 100
) — the number of signs.

The second line of each test case contains n integers a_1, a_2, a_3, \dots,
a_n (1 \le a_i \le 10^6 ) — the periodicities of the signs.

Output

For each test case, output a single integer — the year in which all n signs
will occur.

Example

Input

    4
    
    6
    
    3 2 4 5 9 18
    
    5
    
    1 2 3 4 5
    
    5
    
    1 1 1 1 1
    
    6
    
    50 30 711 200 503 1006

Output

    36
    5
    5
    2012
    
Note

In the first set of input data of the example:

  * The tribe will wait for the first sign in the 3 -rd year; 
  * the tribe will wait for the second sign in the 4 -th year (since year 2 have already passed); 
  * the tribe will wait for the third sign in the 8 -th year (since the second sign has already occurred in the 4 -th year); 
  * the tribe will wait for the fourth sign in the 10 -th year (since year 5 have already passed); 
  * the tribe will wait for the fifth sign in the 18 -th year (since year 9 have already passed); 
  * the tribe will wait for the sixth sign in the 36 -th year (since the fifth sign has already occurred in the 18 -th year).","num_tests = int(input())
 
while num_tests > 0:
    num_tests -= 1
 
    n = int(input())
    nums = [int(x) for x in input().split("" "")] 
 
    start_year = 0
    for x in range(0, len(nums)):
        start_year = ((start_year+1)//nums[x] + 1)*(nums[x])
    print(start_year)",1,False,False
1924_A,1924_A_uguess_8.33%,codeforces2024,human,qwen2p5-72b-instruct,"You are given two integers n and k along with a string s .

Your task is to check whether all possible strings of length n that can be
formed using the first k lowercase English alphabets occur as a subsequence of
s . If the answer is NO, you also need to print a string of length n that can
be formed using the first k lowercase English alphabets which does not occur
as a subsequence of s .

If there are multiple answers, you may print any of them.

Note: A string a is called a subsequence of another string b if a can be
obtained by deleting some (possibly zero) characters from b without changing
the order of the remaining characters.

Input

The first line of input contains a single integer t \, (1 \le t \le 10^5) ,
the number of test cases.

The first line of each test case contains 3 integers n \, (1 \le n \le 26), \:
k \, (1 \le k \le 26), \: m \, (1 \le m \le 1000) , where n and k are the same
as described in the input and m is the length of the string s .

The second line of each test case contains a single string s of length m ,
comprising only of the first k lowercase English alphabets.

It is guaranteed that the sum of m and the sum of n over all test cases does
not exceed 10^6 .

Output

For each test case, print YES if all possible strings of length n that can be
formed using the first k lowercase English alphabets occur as a subsequence of
s , else print NO.

If your answer is NO, print a string of length n that can be formed using the
first k lowercase English alphabets which does not occur as a subsequence of s
in the next line.

You may print each letter of YES or NO in any case (for example, YES, yES, YeS
will all be recognized as a positive answer).

Example

Input

    3
    
    2 2 4
    
    abba
    
    2 2 3
    
    abb
    
    3 3 10
    
    aabbccabab

Output

    YES
    NO
    aa
    NO
    ccc
    
Note

For the first test case, all possible strings (aa, ab, ba, bb) of length 2
that can be formed using the first 2 English alphabets occur as a subsequence
of abba.

For the second test case, the string aa is not a subsequence of abb.","t = int(input())
 
for i in range(t):
    n, k, m = map(int,input().split())
    s = input()
 
    cnt = 0
    cur = 0
 
    for ss in s:
        cur_ss = ord(ss)-ord('a')
        if cur & (1 << cur_ss) == 0:
            cur += (1 << cur_ss)
        if cur == (1<<k)-1:
            cnt += 1
            cur = 0
    if cnt >= n:
        print('YES')
    else:
        print('NO')
        tmp = ''
        ans = chr(ord('a')+k-1) * cnt
        for i in range(k):
            if cur & (1 << i) == 0:
                tmp = chr(ord('a')+i)
        ans += tmp
        ans += 'a'*(n-cnt-1)
        print(ans)",1,False,False
1951_B,1951_B_meet732_100%,codeforces2024,human,qwen2p5-72b-instruct,"[The HU - Shireg Shireg](https://youtu.be/SNCx4n2m5_o)

ඞ

There are n cows participating in a coding tournament. Cow i has a Cowdeforces
rating of a_i (all distinct), and is initially in position i . The tournament
consists of n-1 matches as follows:

  * The first match is between the cow in position 1 and the cow in position 2 . 
  * Subsequently, each match i is between the cow in position i+1 and the winner of match i-1 . 
  * In each match, the cow with the higher Cowdeforces rating wins and proceeds to the next match. 

You are the owner of cow k . For you, winning the tournament is not important;
rather, you want your cow to win in as many matches as possible. As an
acquaintance of the tournament organizers, you can ask them to swap the
position of your cow with another cow only once, or you can choose to do
nothing.

Find the maximum number of wins your cow can achieve.

Input

Each test contains multiple test cases. The first line contains an integer t
(1 \le t \le 10^4 ) — the number of test cases. The description of the test
cases follows.

The first line of each test case contains two integers n and k (2 \le n \le
10^5, 1 \le k \le n ) — the number of cows and your cow's index.

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\le a_i \le 10^9 ) — the Cowdeforces rating of the cows. It is guaranteed that
a_i 's are pairwise different.

It is guaranteed that the sum of n over all test cases does not exceed 10^5 .

Output

For each test case, print one integer: the maximum number of wins cow k can
achieve if you choose to swap (or do nothing) optimally.

Example

Input

    3
    
    6 1
    
    12 10 14 11 8 3
    
    6 5
    
    7 2 727 10 12 13
    
    2 2
    
    1000000000 1

Output

    1
    2
    0
    
Note

In the first test case, it is optimal to do nothing. Let a' be the Cowdeforces
rating of the cows in the original order (with your cow's rating bolded), then

  * Initially, a' = [\mathbf{12}, 10, 14, 11, 8, 3] . 
  * Your cow plays against the cow with Cowdeforces rating 10 and wins. a' = [\mathbf{12}, 14, 11, 8, 3] . 
  * Your cow plays against the cow with Cowdeforces rating 14 and loses. 

In total, your cow wins 1 match.

In the second test case, it is optimal to swap your cow to position 3 . Then,
let a' be the Cowdeforces rating of the cows in the order after the swap.

  * Initially, a' = [7, 2, \mathbf{12}, 10, 727, 13] . 
  * The cow with Cowdeforces rating 7 plays against the cow with Cowdeforces rating 2 and wins. a' = [7, \mathbf{12}, 10, 727, 13] . 
  * The cow with Cowdeforces rating 7 plays against your cow, and your cow wins. a' = [\mathbf{12}, 10, 727, 13] . 
  * Your cow plays against the cow with Cowdeforces rating 10 and wins. a' = [\mathbf{12}, 727, 13] . 
  * Your cow plays against the cow with Cowdeforces rating 727 and loses. 

In total, your cow wins 2 matches.","def mwins(a):
    x=a[k]
 
    ind=[]
    c=0
    for i in range(n):
        if a[i]>x:
            ind.append(i)
            c+=1
        if c==2:break
    if ind==[]:return n-1
    if len(ind)==1:
        if ind[0]==0:
            return k-1
        if ind[0]>k:return ind[0]-1
        return max(k-ind[0],ind[0]-1)
    if ind[0]==0: return min(ind[1]-1,k-1)
    if k>ind[1]: return max(ind[0]-1,ind[1]-ind[0])
    return max(ind[0]-1,k-ind[0])
    
 
 
 
for _ in range(int(input())):
    n,k=list(map(int,input().split()))
    l=list(map(int,input().split()))
    k-=1
    print(mwins(l))",1,True,False
1946_E,1946_E_freeskyljy_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"Some permutation of length n is guessed.

You are given the indices of its prefix maximums and suffix maximums.

Recall that a permutation of length k is an array of size k such that each
integer from 1 to k occurs exactly once.

Prefix maximums are the elements that are the maximum on the prefix ending at
that element. More formally, the element a_i is a prefix maximum if a_i > a_j
for every j < i .

Similarly, suffix maximums are defined, the element a_i is a suffix maximum if
a_i > a_j for every j > i .

You need to output the number of different permutations that could have been
guessed.

As this number can be very large, output the answer modulo 10^9 + 7 .

Input

Each test consists of several test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. Then follows the
description of the test cases.

The first line of each test case contains three integers n, m_1 and m_2 (1 \le
m_1, m_2 \le n \le 2 \cdot 10^5 ) — the length of the permutation, the number
of prefix maximums, and the number of suffix maximums, respectively.

The second line of each test case contains m_1 integers p_1 < p_2 < \ldots <
p_{m_1} (1 \le p_i \le n ) — the indices of the prefix maximums in increasing
order.

The third line of each test case contains m_2 integers s_1 < s_2 < \ldots <
s_{m_2} (1 \le s_i \le n ) — the indices of the suffix maximums in increasing
order.

It is guaranteed that the sum of the values of n for all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output a single integer on a separate line — the number of
suitable permutations modulo 10^9 + 7 .

Example

Input

    6
    
    1 1 1
    
    1
    
    1
    
    4 2 3
    
    1 2
    
    2 3 4
    
    3 3 1
    
    1 2 3
    
    3
    
    5 3 4
    
    1 2 3
    
    2 3 4 5
    
    20 5 4
    
    1 2 3 4 12
    
    12 13 18 20
    
    6 2 3
    
    1 3
    
    3 4 6

Output

    1
    3
    1
    0
    317580808
    10
    
Note

The following permutations are suitable for the second set of input data:

  * [1, 4, 3, 2] 
  * [2, 4, 3, 1] 
  * [3, 4, 2, 1] 

The following permutations are suitable for the sixth set of input data:

  * [2, 1, 6, 5, 3, 4] 
  * [3, 1, 6, 5, 2, 4] 
  * [3, 2, 6, 5, 1, 4] 
  * [4, 1, 6, 5, 2, 3] 
  * [4, 2, 6, 5, 1, 3] 
  * [4, 3, 6, 5, 1, 2] 
  * [5, 1, 6, 4, 2, 3] 
  * [5, 2, 6, 4, 1, 3] 
  * [5, 3, 6, 4, 1, 2] 
  * [5, 4, 6, 3, 1, 2]","import sys
import math
input = sys.stdin.readline
MOD = int(1e9+7)
 
def solve():
    N, M1, M2 = map(int, input().split())
    L = list(map(int, input().split()))
    R = list(map(int, input().split()))
    # if N == 1:
    #     return 1
    if L[-1] != R[0]:
        return 0
    if L[0] != 1 or R[0] != N:
        return 0
    if M1 > 1 and M2 > 1 and L[-2] == R[1]:
        return 0
    ans = math.comb(N-1, L[-1]-1)
    # left
    cur = M1 - 2
    if M1 > 1:
        nums_left = L[-1] - 2
        i = L[-1] - 1
        while i > 1:
            if i == L[cur]:
                cur -= 1
            else:
                ans = (ans*nums_left)%MOD
            nums_left -= 1
            i -= 1
    # right
    nums_left = N - R[0] - 1
    if M2 > 1:
        cur = 1
        i = R[0] + 1
        while i < N:
            if i == R[cur]:
                cur += 1
            else:
                ans = (ans*nums_left)%MOD
            nums_left -= 1
            i += 1
    return ans
 
for _ in range(int(input())):
    print(solve())",1,False,False
