comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.026206539011732415
vanilla_vs_naive correctness fsl,-0.17229923102724382
vanilla_vs_simple tree,-0.09963798596977073
vanilla_vs_complex tree,-0.13852941773628216
vanilla_vs_vanilla_no_cot,-0.1183580955979097
vanilla_vs_summary,0.06668668455928625
vanilla_vs_simple verify fsl,-0.09943896897118276
vanilla_vs_complex verify fsl,-0.12384908099050071
vanilla_vs_summary verify fsl,-0.12459696844434924
vanilla_vs_simple verify,0.1341012601918136
vanilla_vs_complex verify,0.03303659898180084
vanilla_vs_summary verify,-0.044016576984237894
