comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.17531240432874337
vanilla_vs_naive correctness fsl,-0.1901219943344386
vanilla_vs_simple tree,0.03433621964112828
vanilla_vs_complex tree,0.06847326310815056
vanilla_vs_vanilla_no_cot,-0.20378102234506648
vanilla_vs_summary,-0.136689129493228
vanilla_vs_simple verify fsl,-0.08315624822668068
vanilla_vs_complex verify fsl,0.002807310510074413
vanilla_vs_summary verify fsl,-0.08136211453005227
vanilla_vs_simple verify,-0.0808549354932312
vanilla_vs_complex verify,-0.23729324651935613
vanilla_vs_summary verify,-0.20599681462032535
