comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.09385751711097091
naive_no_fsl_vs_Naive,0.12076547423493508
naive_no_fsl_vs_Complex tree,0.09996979417696213
naive_no_fsl_vs_Simple tree,-0.0118161291936795
naive_no_fsl_vs_Function summary no FSL,0.06657953126824522
naive_no_fsl_vs_Simple verify,0.06630714101417731
naive_no_fsl_vs_Complex verify,0.1405632229416763
naive_no_fsl_vs_Default verify,0.1573408565052255
naive_no_fsl_vs_Simple verify no FSL,0.04594271695659871
naive_no_fsl_vs_Complex verify no FSL,0.12664045002020574
naive_no_fsl_vs_Default verify no FSL,0.12757283647199344
