comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.1786535689041148
naive_no_fsl_vs_Naive,-0.16420201698680775
naive_no_fsl_vs_Complex tree,-0.07726576057178101
naive_no_fsl_vs_Simple tree,-0.06025972582729076
naive_no_fsl_vs_Function summary no FSL,-0.18449250666912076
naive_no_fsl_vs_Simple verify,-0.10845686588822388
naive_no_fsl_vs_Complex verify,-0.042173394478632976
naive_no_fsl_vs_Default verify,-0.19950679377386582
naive_no_fsl_vs_Simple verify no FSL,-0.04143293185594796
naive_no_fsl_vs_Complex verify no FSL,-0.04128996826858937
naive_no_fsl_vs_Default verify no FSL,0.12203488436087527
