comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.14777923342539565
vanilla_vs_naive correctness fsl,0.034587834427094816
vanilla_vs_simple tree,0.06550007346827638
vanilla_vs_complex tree,0.055221129539278824
vanilla_vs_vanilla_no_cot,0.006655037198588963
vanilla_vs_summary,0.006504132752854334
vanilla_vs_simple verify fsl,0.1364526224263352
vanilla_vs_complex verify fsl,0.20267490309716232
vanilla_vs_summary verify fsl,0.09362316515821863
vanilla_vs_simple verify,0.23221705028344072
vanilla_vs_complex verify,0.07201944952894718
vanilla_vs_summary verify,0.04715993371688393
