comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.10342015802860018
vanilla_vs_naive correctness fsl,-0.010126738679104281
vanilla_vs_simple tree,0.03456930180610102
vanilla_vs_complex tree,0.04310179145989733
vanilla_vs_vanilla_no_cot,-0.08418503855444788
vanilla_vs_summary,-0.02279356903778827
vanilla_vs_simple verify fsl,0.07542752162511826
vanilla_vs_complex verify fsl,0.04602941788748788
vanilla_vs_summary verify fsl,-0.034764455334380454
vanilla_vs_simple verify,0.13868343323434276
vanilla_vs_complex verify,0.08750804938118965
vanilla_vs_summary verify,0.033868497419520846
