comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.007990240754935688
naive_no_fsl_vs_Naive,-0.09797179797845876
naive_no_fsl_vs_Complex tree,-0.12761547091894743
naive_no_fsl_vs_Simple tree,-0.23775629581239754
naive_no_fsl_vs_Function summary no FSL,0.10196698993312103
naive_no_fsl_vs_Simple verify,-0.0760154707537102
naive_no_fsl_vs_Complex verify,-0.07172866601692271
naive_no_fsl_vs_Default verify,-0.008027820095800975
naive_no_fsl_vs_Simple verify no FSL,-0.02413065929799855
naive_no_fsl_vs_Complex verify no FSL,0.011424003036847723
naive_no_fsl_vs_Default verify no FSL,-0.0261919211726366
