comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.12428049992823152
vanilla_vs_naive correctness fsl,-0.24674857322556246
vanilla_vs_simple tree,-0.11299574927806036
vanilla_vs_complex tree,-0.006257043578244852
vanilla_vs_vanilla_no_cot,-0.281305741829699
vanilla_vs_summary,-0.09140239924900827
vanilla_vs_simple verify fsl,-0.15787785109266492
vanilla_vs_complex verify fsl,-0.0713473493582145
vanilla_vs_summary verify fsl,-0.14883354019186312
vanilla_vs_simple verify,-0.059444643366323775
vanilla_vs_complex verify,-0.126315216194701
vanilla_vs_summary verify,-0.07483064315446893
