comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.2357379068991544
vanilla_vs_naive correctness fsl,-0.07489985775216725
vanilla_vs_simple tree,-0.035724927223897286
vanilla_vs_complex tree,-0.034136985556566087
vanilla_vs_vanilla_no_cot,-0.015720300217318822
vanilla_vs_summary,-0.029241884564029187
vanilla_vs_simple verify fsl,-0.025247117131203096
vanilla_vs_complex verify fsl,-0.09582860383299427
vanilla_vs_summary verify fsl,-0.08059895168292931
vanilla_vs_simple verify,-0.12277551238502901
vanilla_vs_complex verify,-0.05333847034059639
vanilla_vs_summary verify,-0.014006097423266682
