comparison,correlation_with_consistency
naive_vs_Function summary,0.20756663728283348
naive_vs_Naive,
naive_vs_Complex tree,0.1469313427293466
naive_vs_Simple tree,0.15324785287689374
naive_vs_Function summary no FSL,0.22077709159436693
naive_vs_Simple verify,0.23867423547904448
naive_vs_Complex verify,0.222883024666008
naive_vs_Default verify,0.21732195513278219
naive_vs_Simple verify no FSL,0.15887336994377485
naive_vs_Complex verify no FSL,0.18455021258177287
naive_vs_Default verify no FSL,0.16875633079923452
