comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.028809821074787266
naive_no_fsl_vs_Naive,0.07868470556439164
naive_no_fsl_vs_Complex tree,0.11776699447731252
naive_no_fsl_vs_Simple tree,0.19729331164445943
naive_no_fsl_vs_Function summary no FSL,0.04225858833259013
naive_no_fsl_vs_Simple verify,0.10121211902629614
naive_no_fsl_vs_Complex verify,0.07864206679664536
naive_no_fsl_vs_Default verify,0.05408038222674451
naive_no_fsl_vs_Simple verify no FSL,0.045888549342413376
naive_no_fsl_vs_Complex verify no FSL,0.07243417845852637
naive_no_fsl_vs_Default verify no FSL,0.016051041177653807
