comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.03787649246228601
vanilla_vs_naive correctness fsl,0.013697713743921947
vanilla_vs_simple tree,0.047542172896622964
vanilla_vs_complex tree,0.0312993327770641
vanilla_vs_summary,0.09955541262149903
vanilla_vs_simple verify fsl,0.0943313473034912
vanilla_vs_complex verify fsl,0.02297009005739916
vanilla_vs_summary verify fsl,0.10255555508226145
vanilla_vs_simple verify,0.05760052348997499
vanilla_vs_complex verify,0.06925603570504281
vanilla_vs_summary verify,0.11596141360452522
