comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.3221322728773762
naive_no_fsl_vs_Naive,-0.2265388111908529
naive_no_fsl_vs_Complex tree,-0.02257913705712816
naive_no_fsl_vs_Simple tree,-0.10194115921315047
naive_no_fsl_vs_Function summary no FSL,-0.2714496320962043
naive_no_fsl_vs_Simple verify,-0.27396842723299347
naive_no_fsl_vs_Complex verify,-0.1729651108805792
naive_no_fsl_vs_Default verify,-0.2265680030796103
naive_no_fsl_vs_Simple verify no FSL,0.059311886888230275
naive_no_fsl_vs_Complex verify no FSL,-0.07288870242823266
naive_no_fsl_vs_Default verify no FSL,-0.2698565579325014
