comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.05064840454220428
vanilla_vs_naive correctness fsl,0.03488267573442617
vanilla_vs_simple tree,-0.006079604806771432
vanilla_vs_complex tree,-0.04955457561548767
vanilla_vs_vanilla_no_cot,0.08194456107621129
vanilla_vs_summary,-0.020508687438089694
vanilla_vs_simple verify fsl,0.05884592120116865
vanilla_vs_complex verify fsl,0.0051847559853628045
vanilla_vs_summary verify fsl,0.054163758481992876
vanilla_vs_simple verify,0.1091603194637794
vanilla_vs_complex verify,-0.04591798595342598
vanilla_vs_summary verify,0.0567224529579998
