comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08100698227063856
vanilla_vs_naive correctness fsl,-0.09408481850436738
vanilla_vs_simple tree,0.002362025667662496
vanilla_vs_complex tree,-0.014878255354547261
vanilla_vs_vanilla_no_cot,-0.02357290985164091
vanilla_vs_summary,-0.039754149115477894
vanilla_vs_simple verify fsl,-0.0400244900455642
vanilla_vs_complex verify fsl,-0.03747900507683865
vanilla_vs_summary verify fsl,-0.029573018955622497
vanilla_vs_simple verify,-0.018713176017449814
vanilla_vs_complex verify,-0.012736583527882504
vanilla_vs_summary verify,-0.009210906588107125
