comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.0804458232903814
vanilla_vs_naive correctness fsl,-0.11175060646212326
vanilla_vs_simple tree,0.06468199904019474
vanilla_vs_complex tree,0.059176475192796285
vanilla_vs_vanilla_no_cot,-0.14610508042710085
vanilla_vs_summary,0.024686749923017063
vanilla_vs_simple verify fsl,-0.028728652919472464
vanilla_vs_complex verify fsl,-0.052465163565017243
vanilla_vs_summary verify fsl,-0.06566497383670344
vanilla_vs_simple verify,0.007583161977338479
vanilla_vs_complex verify,0.09284135138857509
vanilla_vs_summary verify,0.009825837094829327
