comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09010791737909912
vanilla_vs_naive correctness fsl,-0.09825311751773586
vanilla_vs_simple tree,-0.020424840709489935
vanilla_vs_complex tree,-0.05191752490677212
vanilla_vs_vanilla_no_cot,-0.023629146942964602
vanilla_vs_summary,-0.04145384345425482
vanilla_vs_simple verify fsl,-0.06639549390613828
vanilla_vs_complex verify fsl,-0.023629146942964602
vanilla_vs_summary verify fsl,-0.023629146942964602
vanilla_vs_simple verify,-0.03253626449346838
vanilla_vs_complex verify,-0.03859500589657572
vanilla_vs_summary verify,-0.023629146942964602
