comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08802591817138737
vanilla_vs_naive correctness fsl,-0.11570215549439988
vanilla_vs_simple tree,0.004676361537536915
vanilla_vs_complex tree,0.007975674022561526
vanilla_vs_vanilla_no_cot,-0.15441517180721248
vanilla_vs_summary,0.02283985450977748
vanilla_vs_simple verify fsl,-0.057528951903653126
vanilla_vs_complex verify fsl,-0.08810977116814733
vanilla_vs_summary verify fsl,-0.06007724963078495
vanilla_vs_simple verify,-0.009804664356266687
vanilla_vs_complex verify,0.050642609775222926
vanilla_vs_summary verify,-0.029270303956728236
