comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.03135375269683128
naive_no_fsl_vs_Naive,-0.1398608626788648
naive_no_fsl_vs_Complex tree,0.10112333585936666
naive_no_fsl_vs_Simple tree,0.02055574913936913
naive_no_fsl_vs_Function summary no FSL,-0.01385521412070748
naive_no_fsl_vs_Simple verify,-0.17009648256933074
naive_no_fsl_vs_Complex verify,-0.12138575857702014
naive_no_fsl_vs_Default verify,-0.13791664057843278
naive_no_fsl_vs_Simple verify no FSL,0.03209325684424863
naive_no_fsl_vs_Complex verify no FSL,0.007138384005920044
naive_no_fsl_vs_Default verify no FSL,-0.1104717276607545
