comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.19669599132067542
vanilla_vs_naive correctness fsl,-0.17903997105854147
vanilla_vs_simple tree,0.07531614031222343
vanilla_vs_complex tree,0.0389163561684342
vanilla_vs_vanilla_no_cot,-0.23324633839359327
vanilla_vs_summary,0.034378868638051945
vanilla_vs_simple verify fsl,-0.08109749791895147
vanilla_vs_complex verify fsl,-0.10604109556652017
vanilla_vs_summary verify fsl,-0.10563022361114585
vanilla_vs_simple verify,-0.11347836818674349
vanilla_vs_complex verify,-0.10947438055720674
vanilla_vs_summary verify,-0.06319795199336288
