comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.07701242947559503
vanilla_vs_naive correctness fsl,0.10953883272067375
vanilla_vs_simple tree,0.020850341150476827
vanilla_vs_complex tree,-0.14358063452367417
vanilla_vs_summary,-0.15432227202192364
vanilla_vs_simple verify fsl,0.05603616229395762
vanilla_vs_complex verify fsl,0.038035937309158156
vanilla_vs_summary verify fsl,0.12246181210716907
vanilla_vs_simple verify,-0.10975365613959955
vanilla_vs_complex verify,-0.023275485161374284
vanilla_vs_summary verify,-0.09146877570088001
