comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.2497291562763301
vanilla_vs_naive correctness fsl,-0.2291325603763887
vanilla_vs_simple tree,-0.0029959318818036066
vanilla_vs_complex tree,-0.006881209568453646
vanilla_vs_vanilla_no_cot,-0.011381943541795125
vanilla_vs_summary,-0.018485645872488545
vanilla_vs_simple verify fsl,-0.19820855121276634
vanilla_vs_complex verify fsl,-0.2164998583580927
vanilla_vs_summary verify fsl,-0.16500576062866923
vanilla_vs_simple verify,-0.11652989585945489
vanilla_vs_complex verify,-0.12137835574731201
vanilla_vs_summary verify,-0.14015802199137964
