comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.020310732851740745
vanilla_vs_naive correctness fsl,-0.04665276454643154
vanilla_vs_simple tree,0.07935324170631505
vanilla_vs_complex tree,0.07219829321854493
vanilla_vs_vanilla_no_cot,-0.015116981592400644
vanilla_vs_summary,-0.18096967484762122
vanilla_vs_simple verify fsl,0.009852759945258482
vanilla_vs_complex verify fsl,0.002970618576887961
vanilla_vs_summary verify fsl,0.060649952651187965
vanilla_vs_simple verify,-0.10814438096512133
vanilla_vs_complex verify,-0.03994815620290011
vanilla_vs_summary verify,-0.0465764896023638
