comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.039571213389864246
vanilla_vs_naive correctness fsl,-0.006344176256900647
vanilla_vs_simple tree,-0.0440769267597222
vanilla_vs_complex tree,-0.23814256223154592
vanilla_vs_summary,-0.14883924781952168
vanilla_vs_simple verify fsl,-0.0066992463918691915
vanilla_vs_complex verify fsl,0.010057200521140397
vanilla_vs_summary verify fsl,0.009758442573220684
vanilla_vs_simple verify,0.1016097180055739
vanilla_vs_complex verify,0.14084520682663676
vanilla_vs_summary verify,-0.09249487517595656
