comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.11389393328994339
naive_no_fsl_vs_Naive,-0.274133810233205
naive_no_fsl_vs_Complex tree,-0.07305113150216208
naive_no_fsl_vs_Simple tree,-0.23095539586498248
naive_no_fsl_vs_Function summary no FSL,0.01278591348650116
naive_no_fsl_vs_Simple verify,-0.14815356830788068
naive_no_fsl_vs_Complex verify,-0.274133810233205
naive_no_fsl_vs_Default verify,-0.40595139719570755
naive_no_fsl_vs_Simple verify no FSL,0.3308986386972756
naive_no_fsl_vs_Complex verify no FSL,-0.21518117838701645
naive_no_fsl_vs_Default verify no FSL,-0.21518117838701645
