Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,data file,unique_id,consistency
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,False,post,False,False,False,True,False,False,False,False,False,True,True,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
222,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to remove lowercase substrings from a given string.,"def remove_lowercase(s):
    result = ''
    for char in s:
        if char.isupper():
            result += char
    return result
",,False,post,True,False,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,222_llama3point1-70b,0.8333333333333334
335,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the occurrence and position of the substrings within a string. Return None if there is no match.,"def occurance_substring(string, substring):
    start = string.find(substring)
    if start == -1:
        return None
    end = start + len(substring)
    return (substring, start, end - 1)
",,True,post,False,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,335_llama3point1-70b,0.6666666666666666
307,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the index of smallest triangular number with n digits.,"def find_Index(n):
    k = 1
    while True:
        triangular_number = k * (k + 1) // 2
        if len(str(triangular_number)) == n:
            return k
        k += 1

# Test cases
assert find_Index(2) == 4
assert find_Index(3) == 14
assert find_Index(4) == 45
",,False,post,False,False,False,True,True,False,True,True,True,True,True,True,selected_pilot_75_mbpp.json,307_gpt-4o,0.8333333333333334
45,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to check whether the given number is undulating or not.,"def is_undulating(n):
    n = str(n)
    undulating = True
    for i in range(1, len(n) - 1):
        if (n[i-1] < n[i] and n[i] < n[i+1]) or (n[i-1] > n[i] and n[i] > n[i+1]):
            pass
        else:
            undulating = False
            break
    return undulating
",,True,post,False,True,False,True,True,True,True,False,False,True,True,True,selected_pilot_75_mbpp.json,45_llama3point1-70b,0.6666666666666666
83,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to sort a list of elements.,"def pancake_sort(arr):
    n = len(arr)
    for size in range(n, 0, -1):
        max_index = arr.index(max(arr[:size]))
        if max_index != size-1:
            if max_index != 0:
                arr[:max_index+1] = arr[:max_index+1][::-1]
            arr[:size] = arr[:size][::-1]
    return arr
",,False,post,True,False,False,False,False,False,False,True,True,False,True,True,selected_pilot_75_mbpp.json,83_llama3point1-70b,0.8333333333333334
51,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to multiply all the numbers in a list and divide with the length of the list.,"def multiply_num(numbers):
    product = 1
    for num in numbers:
        product *= num
    return product / len(numbers)
",,True,post,True,False,False,True,False,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,51_llama3point1-70b,0.8333333333333334
275,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the size of the largest subset of a list of numbers so that every pair is divisible.,"def largest_subset(nums):
    if not nums:
        return 0

    nums.sort()
    dp = [1] * len(nums)
    
    for i in range(len(nums)):
        for j in range(i):
            if nums[i] % nums[j] == 0:
                dp[i] = max(dp[i], dp[j] + 1)
    
    return max(dp)

# Testing the function with the provided test cases
assert largest_subset([1, 3, 6, 13, 17, 18]) == 4
assert largest_subset([10, 5, 3, 15, 20]) == 3
assert largest_subset([18, 1, 3, 6, 13, 17]) == 4
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,275_gpt-4o,0.8333333333333334
326,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the minimum difference between any two elements in a given array.,"def find_min_diff(arr, target):
    arr = sorted(arr)
    min_diff = float('inf')
    for i in range(len(arr) - 1):
        diff = abs(arr[i] - arr[i + 1])
        if diff < min_diff:
            min_diff = diff
    return min_diff
",,True,post,True,False,True,True,False,False,False,False,True,True,False,False,selected_pilot_75_mbpp.json,326_llama3point1-70b,0.8333333333333334
109,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,"def replace_list(list1, list2):
    if list1:
        list1[-1:] = list2
    else:
        list1 = list2
    return list1
",,True,post,True,False,True,True,True,True,True,False,True,False,True,False,selected_pilot_75_mbpp.json,109_llama3point1-70b,0.5
55,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to convert a snake case string to camel case string.,"def snake_to_camel(snake_str):
    components = snake_str.split('_')
    return ''.join(x.capitalize() for x in components)

# Tests
assert snake_to_camel('python_program') == 'PythonProgram'
assert snake_to_camel('python_language') == 'PythonLanguage'
assert snake_to_camel('programming_language') == 'ProgrammingLanguage'
",,False,post,False,False,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,55_gpt-4o,0.8333333333333334
