Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,data file
Mbpp_278,mbpp,llama3-70b,gpt-4o-mini-2024-07-18,Write a function to find the number of elements that occurs before the tuple element in the given tuple.,"def count_first_elements(tup):
    for elem in tup:
        if isinstance(elem, tuple):
            return tup.index(elem)
    return len(tup)
",,False,post,False,False,False,False,False,pilot_mbpp5.json
Mbpp_278,mbpp,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the number of elements that occurs before the tuple element in the given tuple.,"def count_first_elements(tup):
    count = 0
    for elem in tup:
        if isinstance(elem, tuple):
            break
        count += 1
    return count

# Test cases
assert count_first_elements((1, 5, 7, (4, 6), 10)) == 3
assert count_first_elements((2, 9, (5, 7), 11)) == 2
assert count_first_elements((11, 15, 5, 8, (2, 3), 8)) == 4
",,True,post,False,True,False,True,True,pilot_mbpp5.json
Mbpp_628,mbpp,llama3-70b,gpt-4o-mini-2024-07-18,Write a function to replace all spaces in the given string with '%20'.,"def replace_spaces(s: str) -> str:
    return s.replace(' ', '%20')
",,True,post,True,True,False,True,True,pilot_mbpp5.json
Mbpp_628,mbpp,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to replace all spaces in the given string with '%20'.,"def replace_spaces(input_string):
    return input_string.replace(' ', '%20')

# Test cases
assert replace_spaces(""My Name is Dawood"") == 'My%20Name%20is%20Dawood'
assert replace_spaces(""I am a Programmer"") == 'I%20am%20a%20Programmer'
assert replace_spaces(""I love Coding"") == 'I%20love%20Coding'
",,True,post,True,True,False,True,True,pilot_mbpp5.json
Mbpp_624,mbpp,llama3-70b,gpt-4o-mini-2024-07-18,Write a python function to convert a given string to uppercase.,"def is_upper(s: str) -> str:
    return s.upper()
",,False,post,True,True,False,True,True,pilot_mbpp5.json
Mbpp_624,mbpp,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to convert a given string to uppercase.,"def is_upper(s):
    return s.upper()

# Tests to validate the solution
assert is_upper(""person"") == ""PERSON""
assert is_upper(""final"") == ""FINAL""
assert is_upper(""Valid"") == ""VALID""
",,False,post,True,True,False,True,True,pilot_mbpp5.json
Mbpp_297,mbpp,llama3-70b,gpt-4o-mini-2024-07-18,Write a function to flatten a given nested list structure.,"def flatten_list(nested_list):
    flat_list = []
    for element in nested_list:
        if isinstance(element, list):
            flat_list.extend(flatten_list(element))
        else:
            flat_list.append(element)
    return flat_list
",,False,post,True,True,True,True,True,pilot_mbpp5.json
Mbpp_297,mbpp,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to flatten a given nested list structure.,"def flatten_list(nested_list):
    flat_list = []
    
    for item in nested_list:
        if isinstance(item, list):
            flat_list.extend(flatten_list(item))
        else:
            flat_list.append(item)
    
    return flat_list

# Testing the function with the provided test cases
assert flatten_list([0, 10, [20, 30], 40, 50, [60, 70, 80], [90, 100, 110, 120]]) == [0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120]
assert flatten_list([[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]]) == [10, 20, 40, 30, 56, 25, 10, 20, 33, 40]
assert flatten_list([[1,2,3], [4,5,6], [10,11,12], [7,8,9]]) == [1, 2, 3, 4, 5, 6, 10, 11, 12, 7, 8, 9]
",,True,post,True,True,True,True,True,pilot_mbpp5.json
Mbpp_769,mbpp,llama3-70b,gpt-4o-mini-2024-07-18,Write a python function to get the difference between two lists.,"def Diff(list1, list2):
    return sorted(list(set(list1) ^ set(list2)))
",,True,post,False,False,False,True,False,pilot_mbpp5.json
Mbpp_769,mbpp,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to get the difference between two lists.,"def Diff(list1, list2):
    # Convert lists to sets and find their symmetric difference
    set1 = set(list1)
    set2 = set(list2)
    diff_elements = set1.symmetric_difference(set2)
    
    # Convert the set back to a list and sort it to ensure the order matches the expected results
    result_list = list(diff_elements)
    result_list.sort(key=lambda x: (list1 + list2).index(x))
    
    return result_list

# Test cases
assert Diff([10, 15, 20, 25, 30, 35, 40], [25, 40, 35]) == [10, 20, 30, 15]
assert Diff([1,2,3,4,5], [6,7,1]) == [2,3,4,5,6,7]
assert Diff([1,2,3], [6,7,1]) == [2,3,6,7]
",,True,post,False,False,True,False,False,pilot_mbpp5.json
