Task ID,Dataset,unique_id,model_created,model_run,description,Code,Test Result,Post,original correctness,naive no fsl correctness,data file
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_llama3-70b,llama3-70b,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, elem):
    for i, x in enumerate(arr):
        if x == elem:
            return (True, i)
    return (False, -1)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_gpt-4o,gpt-4o,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, element):
    for index, value in enumerate(arr):
        if value == element:
            return (True, index)
    return (False, -1)

# Test cases
assert sequential_search([11,23,58,31,56,77,43,12,65,19],31) == (True, 3)
assert sequential_search([12, 32, 45, 62, 35, 47, 44, 61],61) == (True, 7)
assert sequential_search([9, 10, 17, 19, 22, 39, 48, 56],48) == (True, 6)
",,post,True,True,pilot_mbpp3.json
Mbpp_280,mbpp,Mbpp_280_gpt-4o,gpt-4o,gpt-3.5-turbo-0125,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"def sequential_search(arr, element):
    for index, value in enumerate(arr):
        if value == element:
            return (True, index)
    return (False, -1)

# Test cases
assert sequential_search([11,23,58,31,56,77,43,12,65,19],31) == (True, 3)
assert sequential_search([12, 32, 45, 62, 35, 47, 44, 61],61) == (True, 7)
assert sequential_search([9, 10, 17, 19, 22, 39, 48, 56],48) == (True, 6)
",,post,True,True,pilot_mbpp3.json
