comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.28526423022236963
naive_no_fsl_vs_Naive,0.07363230012797499
naive_no_fsl_vs_Complex tree,0.12389899003346426
naive_no_fsl_vs_Simple tree,0.06377724528674283
naive_no_fsl_vs_Function summary no FSL,0.3241408394140378
naive_no_fsl_vs_Simple verify,0.10138735440139844
naive_no_fsl_vs_Complex verify,0.15981012038675627
naive_no_fsl_vs_Default verify,0.07641034406693048
naive_no_fsl_vs_Simple verify no FSL,0.07675009084219359
naive_no_fsl_vs_Complex verify no FSL,0.17277378609183708
naive_no_fsl_vs_Default verify no FSL,0.06459514247489251
