Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,data file,unique_id,consistency
179,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,True,post,True,False,False,True,False,True,False,True,True,False,True,True,selected_pilot_75_mbpp.json,179_llama3point1-70b,0.5
179,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,True,post,True,True,False,True,False,False,True,True,True,False,True,True,selected_pilot_75_mbpp.json,179_gpt-4o,0.6666666666666666
68,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,True,post,False,False,True,True,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,68_gpt-4o,0.5
134,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"import math

def even_binomial_Coeff_Sum(n):
    # Sum of binomial coefficients at even indices is given by 2^(n-1)
    return 2**(n-1)

# Test cases
assert even_binomial_Coeff_Sum(4) == 8
assert even_binomial_Coeff_Sum(6) == 32
assert even_binomial_Coeff_Sum(2) == 2
",,False,post,True,False,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,134_gpt-4o,0.5
276,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, n):
    # Merge the two sorted lists
    merged_list = sorted(list1 + list2)
    
    # Calculate the median
    mid = len(merged_list) // 2
    
    if len(merged_list) % 2 == 0:
        # Even number of elements
        median = (merged_list[mid - 1] + merged_list[mid]) / 2
    else:
        # Odd number of elements (although this case won't happen given the problem constraints)
        median = merged_list[mid]
    
    return median

# Test cases
assert get_median([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5) == 16.0
assert get_median([2, 4, 8, 9], [7, 13, 19, 28], 4) == 8.5
assert get_median([3, 6, 14, 23, 36, 42], [2, 18, 27, 39, 49, 55], 6) == 25.0
",,False,post,False,False,True,True,False,False,False,False,False,True,True,False,selected_pilot_75_mbpp.json,276_gpt-4o,0.6666666666666666
85,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr):
    return max(arr) - min(arr)
",,True,post,True,True,True,True,False,False,True,False,False,False,False,False,selected_pilot_75_mbpp.json,85_llama3point1-70b,0.5
146,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the list of maximum length in a list of lists.,"def max_length(list_of_lists):
    max_len = 0
    max_list = []
    
    for lst in list_of_lists:
        if len(lst) > max_len:
            max_len = len(lst)
            max_list = lst
            
    return (max_len, max_list)

# Test cases
assert max_length([[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]]) == (3, [13, 15, 17])
assert max_length([[1], [5, 7], [10, 12, 14, 15]]) == (4, [10, 12, 14, 15])
assert max_length([[5], [15, 20, 25]]) == (3, [15, 20, 25])
",,False,post,True,False,False,False,False,False,True,True,False,True,False,False,selected_pilot_75_mbpp.json,146_gpt-4o,0.6666666666666666
320,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the second smallest number in a list.,"def second_smallest(nums):
    unique_nums = sorted(set(nums))
    return unique_nums[1] if len(unique_nums) > 1 else None

# Test cases
assert second_smallest([1, 2, -8, -2, 0, -2]) == -2
assert second_smallest([1, 1, -0.5, 0, 2, -2, -2]) == -0.5
assert second_smallest([2,2]) == None
assert second_smallest([2,2,2]) == None
",,True,post,True,True,False,False,True,False,True,True,True,True,True,True,selected_pilot_75_mbpp.json,320_gpt-4o,0.5
161,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a function to find the n'th lucas number.,"def find_lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    else:
        a, b = 2, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
",,False,post,True,True,False,True,False,False,True,False,False,True,False,False,selected_pilot_75_mbpp.json,161_llama3point1-70b,0.6666666666666666
161,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the n'th lucas number.,"def find_lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    else:
        a, b = 2, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b

# Test cases
assert find_lucas(9) == 76
assert find_lucas(4) == 7
assert find_lucas(3) == 4
",,False,post,True,False,True,False,True,False,True,True,True,True,False,False,selected_pilot_75_mbpp.json,161_gpt-4o,0.6666666666666666
