comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.03538555198980368
naive_no_fsl_vs_Naive,-0.05772141308826441
naive_no_fsl_vs_Complex tree,-0.10510567879037834
naive_no_fsl_vs_Simple tree,-0.058299139560369834
naive_no_fsl_vs_Function summary no FSL,-0.027540509499253903
naive_no_fsl_vs_Simple verify,-0.08251007650458396
naive_no_fsl_vs_Complex verify,-0.12457728590707362
naive_no_fsl_vs_Default verify,-0.15847207601400137
naive_no_fsl_vs_Simple verify no FSL,-0.0006792665817389211
naive_no_fsl_vs_Complex verify no FSL,-0.07083957719306179
naive_no_fsl_vs_Default verify no FSL,-0.11601835748863444
