comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08362665214578462
vanilla_vs_naive correctness fsl,-0.09457304031328516
vanilla_vs_simple tree,-0.03436670978824799
vanilla_vs_complex tree,-0.031000030288009354
vanilla_vs_vanilla_no_cot,-0.03208786776442771
vanilla_vs_summary,-0.05598550938087484
vanilla_vs_simple verify fsl,-0.048237436916187273
vanilla_vs_complex verify fsl,-0.04928840523954918
vanilla_vs_summary verify fsl,-0.03208786776442771
vanilla_vs_simple verify,-0.03355114269927935
vanilla_vs_complex verify,-0.01140843523020421
vanilla_vs_summary verify,-0.0041342434110922905
